#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
IMG_1103.JPG,2616390,"{}",32,0,"{""name"":""circle"",""cx"":580,""cy"":1185,""r"":98}","{""CoTuong"":""ConPhaoDo""}"
IMG_1103.JPG,2616390,"{}",32,1,"{""name"":""circle"",""cx"":2524,""cy"":1196,""r"":98}","{""CoTuong"":""ConPhaoDo""}"
IMG_1103.JPG,2616390,"{}",32,2,"{""name"":""circle"",""cx"":293,""cy"":606,""r"":96}","{""CoTuong"":""ConXeDo""}"
IMG_1103.JPG,2616390,"{}",32,3,"{""name"":""circle"",""cx"":2845,""cy"":582,""r"":98}","{""CoTuong"":""ConXeDo""}"
IMG_1103.JPG,2616390,"{}",32,4,"{""name"":""circle"",""cx"":611,""cy"":608,""r"":100}","{""CoTuong"":""ConMaDo""}"
IMG_1103.JPG,2616390,"{}",32,5,"{""name"":""circle"",""cx"":2545,""cy"":582,""r"":98}","{""CoTuong"":""ConMaDo""}"
IMG_1103.JPG,2616390,"{}",32,6,"{""name"":""circle"",""cx"":917,""cy"":592,""r"":98}","{""CoTuong"":""ConTuongDo""}"
IMG_1103.JPG,2616390,"{}",32,7,"{""name"":""circle"",""cx"":2229,""cy"":584,""r"":98}","{""CoTuong"":""ConTuongDo""}"
IMG_1103.JPG,2616390,"{}",32,8,"{""name"":""circle"",""cx"":1247,""cy"":571,""r"":98}","{""CoTuong"":""ConSiDo""}"
IMG_1103.JPG,2616390,"{}",32,9,"{""name"":""circle"",""cx"":1884,""cy"":584,""r"":98}","{""CoTuong"":""ConSiDo""}"
IMG_1103.JPG,2616390,"{}",32,10,"{""name"":""circle"",""cx"":1568,""cy"":579,""r"":98}","{""CoTuong"":""ConSoaiDo""}"
IMG_1103.JPG,2616390,"{}",32,11,"{""name"":""circle"",""cx"":324,""cy"":1541,""r"":94}","{""CoTuong"":""ConTotDo""}"
IMG_1103.JPG,2616390,"{}",32,12,"{""name"":""circle"",""cx"":883,""cy"":1522,""r"":98}","{""CoTuong"":""ConTotDo""}"
IMG_1103.JPG,2616390,"{}",32,13,"{""name"":""circle"",""cx"":1547,""cy"":1530,""r"":98}","{""CoTuong"":""ConTotDo""}"
IMG_1103.JPG,2616390,"{}",32,14,"{""name"":""circle"",""cx"":2192,""cy"":1549,""r"":98}","{""CoTuong"":""ConTotDo""}"
IMG_1103.JPG,2616390,"{}",32,15,"{""name"":""circle"",""cx"":2830,""cy"":1541,""r"":98}","{""CoTuong"":""ConTotDo""}"
IMG_1103.JPG,2616390,"{}",32,16,"{""name"":""circle"",""cx"":254,""cy"":3460,""r"":96}","{""CoTuong"":""ConXeXanh""}"
IMG_1103.JPG,2616390,"{}",32,17,"{""name"":""circle"",""cx"":2871,""cy"":3492,""r"":99}","{""CoTuong"":""ConXeXanh""}"
IMG_1103.JPG,2616390,"{}",32,18,"{""name"":""circle"",""cx"":554,""cy"":3466,""r"":96}","{""CoTuong"":""ConMaXanh""}"
IMG_1103.JPG,2616390,"{}",32,19,"{""name"":""circle"",""cx"":2553,""cy"":3499,""r"":91}","{""CoTuong"":""ConMaXanh""}"
IMG_1103.JPG,2616390,"{}",32,20,"{""name"":""circle"",""cx"":878,""cy"":3479,""r"":99}","{""CoTuong"":""ConTuongXanh""}"
IMG_1103.JPG,2616390,"{}",32,21,"{""name"":""circle"",""cx"":2226,""cy"":3489,""r"":98}","{""CoTuong"":""ConTuongXanh""}"
IMG_1103.JPG,2616390,"{}",32,22,"{""name"":""circle"",""cx"":1189,""cy"":3489,""r"":99}","{""CoTuong"":""ConSiXanh""}"
IMG_1103.JPG,2616390,"{}",32,23,"{""name"":""circle"",""cx"":1884,""cy"":3499,""r"":99}","{""CoTuong"":""ConSiXanh""}"
IMG_1103.JPG,2616390,"{}",32,24,"{""name"":""circle"",""cx"":1544,""cy"":3481,""r"":96}","{""CoTuong"":""ConSoaiXanh""}"
IMG_1103.JPG,2616390,"{}",32,25,"{""name"":""circle"",""cx"":562,""cy"":2867,""r"":96}","{""CoTuong"":""ConPhaoXanh""}"
IMG_1103.JPG,2616390,"{}",32,26,"{""name"":""circle"",""cx"":2529,""cy"":2872,""r"":99}","{""CoTuong"":""ConPhaoXanh""}"
IMG_1103.JPG,2616390,"{}",32,27,"{""name"":""circle"",""cx"":264,""cy"":2522,""r"":95}","{""CoTuong"":""ConTotXanh""}"
IMG_1103.JPG,2616390,"{}",32,28,"{""name"":""circle"",""cx"":889,""cy"":2525,""r"":100}","{""CoTuong"":""ConTotXanh""}"
IMG_1103.JPG,2616390,"{}",32,29,"{""name"":""circle"",""cx"":1539,""cy"":2517,""r"":95}","{""CoTuong"":""ConTotXanh""}"
